Post ID,Project,Platform,Content Pillar,Post Copy,Media File,Post Date,Post Time (PST),Status,Engagement Rate %,Link,Hashtags,Notes
11,NoorStudio,TikTok,Behind-the-Scenes,"From prompt to page: How NoorStudio brings your child's story to life 🎨✨

Step 1: Parents share their child's interests
Step 2: Our AI generates unique characters (that look like YOUR child!)
Step 3: Professional illustrators refine every detail  
Step 4: Story is customized with child's name & family
Step 5: Printed on premium paper & shipped

Every book is one-of-a-kind 📚

Design yours in bio!",video_process_timelapse.mp4,2026-02-15,7:00 PM,Draft,,https://noorstudio.com/how-it-works,"#BehindTheScenes #AIBooks #ChildrensBooks #BookTok #PersonalizedBooks",Process video - 45 seconds
12,Mawashi,X,Market Insights,"🐑 Ramadan sheep prices: What to expect in 2026

Quick market analysis 🧵👇

1/ Lamb prices currently $180-220/head (live weight) depending on region. Expect 15-20% increase by Ramadan (March).

2/ Why the spike? Supply chain tightening + increased demand from growing Muslim population + feed costs up 8% YoY.",thread_placeholder.txt,2026-02-16,10:00 AM,Draft,,https://mawashi.com/market-insights,"#LivestockPrices #Qurbani #RamadanPrep #SheepFarming #MarketAnalysis",Thread format - 7 tweets with data
,,,,,,,,,,,,
,,,,,,,,,,,,
INSTRUCTIONS FOR USE:,,,,,,,,,,,,
1. Make a copy of this template for each month,,,,,,,,,,,,
2. Fill in Post Copy column with your captions,,,,,,,,,,,,
3. Add media files to Google Drive and link filenames here,,,,,,,,,,,,
"4. Platform column: use | separator for cross-posting (e.g., X|Instagram)",,,,,,,,,,,,
5. Status options: Draft | Scheduled | Published | Posted,,,,,,,,,,,,
6. Update Engagement Rate % after post is published (from Buffer analytics),,,,,,,,,,,,
7. Use Notes column for reminders or learnings,,,,,,,,,,,,
,,,,,,,,,,,,
CONTENT PILLAR REFERENCE:,,,,,,,,,,,,
,,,,,,,,,,,,
"AFAQ ESG: ESG Trends & Insights | Compliance Tips | Case Studies | Thought Leadership | Community & News",,,,,,,,,,,,
"Petdate: Community Engagement | Local Events | Pet Care Tips | App Features | Fun & Trending",,,,,,,,,,,,
"SacredChain: Teacher Spotlights | Student Testimonials | Islamic Education | Platform Features | Community Building",,,,,,,,,,,,
"NikahX: Success Stories | Islamic Marriage Principles | Diversity & Inclusivity | App Features",,,,,,,,,,,,
"NoorStudio: Book Previews | Parenting Tips | Behind-the-Scenes | Customer Stories | Educational Content",,,,,,,,,,,,
"Mawashi: Market Insights | Farmer Spotlights | Trading Tips | Community & Cultural | Platform Features",,,,,,,,,,,,
