Post_ID,Project,Title,Content,Content_Type,Platforms,Scheduled_Date,Scheduled_Time,Hashtags,Media_Type,CTA,Link_URL,Status,Approval_Status,Notes
SACREDCHAIN-001,SacredChain,"Blockchain Meets Faith: The Future","Imagine a world where Islamic finance is transparent, secure, and decentralized. SacredChain makes it possible. Welcome to the future of ethical blockchain.","News","Instagram;Twitter;LinkedIn;Facebook",2026-02-10,10:00 AM,"#SacredChain #Blockchain #IslamicFinance #Tech #Innovation #Crypto","Video","Are you ready for blockchain in Islamic finance?","https://sacredchain.example.com/intro","Draft","Pending","Week 1 - Launch Monday"
SACREDCHAIN-002,SacredChain,"What is Halal Crypto?","Not all cryptocurrencies are created equal. Halal crypto follows Islamic principles: no interest (riba), no forbidden industries, no speculation. Learn what makes SacredChain different.","Tutorial","Twitter;Instagram;LinkedIn",2026-02-10,02:00 PM,"#SacredChain #HalalCrypto #IslamicFinance #Blockchain #Ethical","Image","What's your biggest question about halal crypto?","https://sacredchain.example.com/halal-crypto-101","Draft","Pending","Afternoon educational"
SACREDCHAIN-003,SacredChain,"Smart Contracts & Islamic Law","The genius of smart contracts: they execute agreements automatically. But do they comply with Sharia? We analyzed it. Spoiler: Yes, when built ethically.","Educational","LinkedIn;Twitter;Facebook",2026-02-10,07:00 PM,"#SacredChain #SmartContracts #Sharia #Blockchain #IslamicTech","Text","Which Islamic financial principle interests you most?","https://sacredchain.example.com/smart-contracts","Draft","Pending","Evening thought leadership"
SACREDCHAIN-004,SacredChain,"Meet the SacredChain Team","Behind every innovation is brilliant minds dedicated to ethical blockchain. Meet our founders who left crypto to build something truly Islamic.","Community","Instagram;Twitter;LinkedIn;Facebook",2026-02-11,09:00 AM,"#SacredChain #Team #Founders #IslamicTech #Innovation #Startup","Carousel","Who would you like to hear from on our team?","https://sacredchain.example.com/team","Draft","Pending","Week 1 - Tuesday team intro"
SACREDCHAIN-005,SacredChain,"Explainer: Zakat on Crypto","Do you owe Zakat on your cryptocurrency holdings? Yes! Here's how to calculate it according to Islamic principles. Your wealth purification made simple.","Tutorial","Twitter;Instagram;LinkedIn",2026-02-11,12:00 PM,"#SacredChain #Zakat #Crypto #IslamicFinance #Education #FinancialPlanning","Image","Have you calculated your crypto zakat?","https://sacredchain.example.com/zakat-crypto","Draft","Pending","Mid-day educational"
SACREDCHAIN-006,SacredChain,"Web3 in Islamic Finance","Web3 promises decentralization and transparency - the EXACT values Islam emphasizes. Could Islamic finance be the killer app for Web3?","Thought Leadership","LinkedIn;Twitter;Facebook",2026-02-11,05:00 PM,"#SacredChain #Web3 #IslamicFinance #Blockchain #Future #Decentralization","Text","Do you think Web3 aligns with Islamic values?","https://sacredchain.example.com/web3-islamic","Draft","Pending","Afternoon discussion"
SACREDCHAIN-007,SacredChain,"Riba-Free Yield Farming","Traditional yield farming violates riba principles. SacredChain introduces the first truly halal yield farming protocol. No interest, no speculation - just fair returns.","News","Instagram;Twitter;LinkedIn",2026-02-12,10:00 AM,"#SacredChain #YieldFarming #Halal #IslamicFinance #DeFi #Blockchain","Video","Would you participate in halal yield farming?","https://sacredchain.example.com/yield-farming","Draft","Pending","Week 1 - Wednesday launch"
SACREDCHAIN-008,SacredChain,"Partnership Announcement: Islamic Bank X","We're proud to announce our partnership with [Bank Name] to bring blockchain infrastructure to 5M+ customers. Islamic finance just went mainstream.","News","Facebook;LinkedIn;Twitter;Instagram",2026-02-12,03:00 PM,"#SacredChain #Partnership #IslamicBanking #Blockchain #News #Growth","Image","Which region should we expand to next?","https://sacredchain.example.com/partnership-announcement","Draft","Pending","Afternoon partnership news"
SACREDCHAIN-009,SacredChain,"Sharia Board Approval: Our Certification","Our protocols underwent rigorous Sharia compliance review. We're officially certified by leading Islamic scholars. Every transaction is ethically sound.","News","Twitter;LinkedIn;Instagram;Threads",2026-02-12,06:00 PM,"#SacredChain #Sharia #Certification #IslamicFinance #Compliance #Ethical","Text","This certification means Islamic finance is serious about ethics.","https://sacredchain.example.com/sharia-board","Draft","Pending","Evening milestone"
SACREDCHAIN-010,SacredChain,"SacredChain Live AMA: Ask the Founders","This Friday 7 PM PST - our founders are answering YOUR questions about halal blockchain, Islamic finance, and the future. Register now!","Community","Instagram;Twitter;Facebook;LinkedIn",2026-02-12,09:00 PM,"#SacredChain #AMA #Founders #Community #Questions #IslamicTech","Text","What question are you most excited to ask?","https://sacredchain.example.com/ama-register","Draft","Pending","Night event promotion"
NOORSTUDIO-001,NoorStudio,"Design Your Soul: Visual Identity Guide","Who says Islamic design has to be traditional? NoorStudio merges ancient geometry with modern aesthetics. See how we're redefining Islamic visual culture.","Educational","Instagram;Pinterest;LinkedIn;Twitter",2026-02-10,11:00 AM,"#NoorStudio #IslamicDesign #VisualIdentity #Art #Culture #Modern","Carousel","What Islamic design trend excites you most?","https://noorstudio.example.com/visual-guide","Draft","Pending","Week 1 - Monday design"
NOORSTUDIO-002,NoorStudio,"Meet Noor: Behind the Studio","NoorStudio isn't just a design agency - it's a cultural movement. Meet the creative minds bringing Islamic art into the 21st century.","Community","Instagram;Twitter;Facebook;LinkedIn",2026-02-10,03:00 PM,"#NoorStudio #CreativeTeam #IslamicArt #Design #Inspiration #Studio","Video","What's your favorite art style?","https://noorstudio.example.com/team","Draft","Pending","Afternoon team showcase"
NOORSTUDIO-003,NoorStudio,"Color Theory in Islamic Tradition","Why blue? Why green? Every color in Islamic design has meaning. Explore the symbolism behind traditional Islamic color palettes.","Educational","Pinterest;Instagram;LinkedIn",2026-02-10,06:00 PM,"#NoorStudio #ColorTheory #IslamicArt #Design #Culture #Symbolism","Image","Which Islamic color speaks to you?","https://noorstudio.example.com/color-guide","Draft","Pending","Evening educational"
NOORSTUDIO-004,NoorStudio,"Portfolio Drop: Zakat App UI Design","We just redesigned a zakat calculation app with Islamic-inspired UI. Clean. Beautiful. Meaningful. Check the full case study on our portfolio.","News","Instagram;Twitter;LinkedIn;Pinterest",2026-02-11,10:00 AM,"#NoorStudio #DesignPortfolio #UX #IslamicApp #ZakatApp #CaseStudy","Image","Would you use a beautifully designed Islamic finance app?","https://noorstudio.example.com/zakat-app-case","Draft","Pending","Week 1 - Tuesday portfolio"
NOORSTUDIO-005,NoorStudio,"Geometric Patterns Masterclass","Want to create Islamic geometric patterns? We're releasing a free masterclass: from basic principles to advanced designs. Enroll now!","Community","Twitter;Instagram;Facebook;LinkedIn",2026-02-11,01:00 PM,"#NoorStudio #Masterclass #Geometry #IslamicArt #Learning #FreeClass","Text","Would you attend our live geometric pattern workshop?","https://noorstudio.example.com/geometry-masterclass","Draft","Pending","Afternoon announcement"
NOORSTUDIO-006,NoorStudio,"Typography Trends: Arabic Meets Modern","Arabic calligraphy meets sans-serif minimalism. Here's how contemporary brands honor tradition through thoughtful typography.","Educational","Instagram;LinkedIn;Pinterest;Twitter",2026-02-11,05:00 PM,"#NoorStudio #Typography #ArabicCalligraphy #Design #Branding #Modern","Image","What's your favorite Arabic font?","https://noorstudio.example.com/typography-guide","Draft","Pending","Afternoon design tip"
NOORSTUDIO-007,NoorStudio,"Client Feature: Masjid Branding","This 500-year-old masjid just got a modern visual identity - without losing its soul. See how we blended sacred tradition with contemporary design.","Community","Instagram;Facebook;LinkedIn;Twitter",2026-02-12,09:00 AM,"#NoorStudio #Branding #Masjid #Community #IslamicHeritage #Design","Carousel","What community projects should we design next?","https://noorstudio.example.com/masjid-case","Draft","Pending","Week 1 - Wednesday community"
NOORSTUDIO-008,NoorStudio,"Design Trend Report: Islamic Art 2026","2026 is the year of: minimalist Islamic design, digital calligraphy, and 3D geometric rendering. Here's what's trending and where it's headed.","Thought Leadership","LinkedIn;Twitter;Pinterest;Instagram",2026-02-12,02:00 PM,"#NoorStudio #DesignTrends #IslamicArt #2026Forecast #Culture #Art","Text","Which trend will you adopt in your projects?","https://noorstudio.example.com/trend-report-2026","Draft","Pending","Afternoon trend report"
NOORSTUDIO-009,NoorStudio,"Free Design Resources: Icon Pack","Islamic geometric icon pack - 500+ icons for your projects. All free, all open-source, all beautiful. Download now and credit NoorStudio!","Community","Twitter;Instagram;Facebook;LinkedIn",2026-02-12,07:00 PM,"#NoorStudio #FreeResources #DesignTools #IslamicIcons #OpenSource #Community","Image","How will you use these icons?","https://noorstudio.example.com/icon-pack-free","Draft","Pending","Evening giveaway"
NOORSTUDIO-010,NoorStudio,"Designer Spotlight: June's Work","June just finished an identity system for a halal food brand. The work is stunning. Let's celebrate our talented team members!","Community","Instagram;LinkedIn;Twitter;Facebook",2026-02-12,08:30 PM,"#NoorStudio #DesignSpotlight #TeamFeature #IslamicDesign #Talent #Celebration","Image","Drop a 🎨 if you love creative design work!","https://noorstudio.example.com/designer-spotlight-june","Draft","Pending","Evening team celebration"
PETDATE-001,Petdate,"Welcome to Petdate: Meet Your Match","Find your perfect pet companion! Petdate is the dating app for animals and their owners. Serious pet friendships start here. Join thousands of happy pets today!","News","Instagram;TikTok;Twitter;Facebook",2026-02-10,08:00 AM,"#Petdate #PetFriendship #DogMom #CatLady #PetsOfInstagram #PetNetwork","Video","What's your pet's personality type?","https://petdate.example.com/download","Draft","Pending","Week 1 - Monday launch"
PETDATE-002,Petdate,"Feature Spotlight: Pet Personality Quiz","Dogs: Alpha or Beta? Cats: Indoor adventurer or Couch king? Our quiz matches personality types so your pet finds the PERFECT playmate. Try it now!","Community","TikTok;Instagram;Twitter;Facebook",2026-02-10,01:00 PM,"#Petdate #PetsOfInstagram #PetQuiz #Personality #Friendship #Fun","Interactive","What was your pet's personality result?","https://petdate.example.com/personality-quiz","Draft","Pending","Afternoon engagement"
PETDATE-003,Petdate,"Success Story: Max & Bella's Friendship","Max (Golden Retriever) matched with Bella (Husky) last month. Now they're best friends for life! Watch their adorable playday video. Pet love is real! ❤️","Community","Instagram;TikTok;Facebook;Twitter",2026-02-10,05:00 PM,"#Petdate #PetsOfInstagram #Friendship #DogBffs #Success #Heartwarming #Love","Video","Tag your pet's best friend! 🐾","https://petdate.example.com/max-bella-story","Draft","Pending","Evening heartwarming story"
PETDATE-004,Petdate,"Pet Parent Tips: Socialization Matters","Lonely pets become anxious pets. Our founders share expert tips on socializing your furry friends. Your pet's mental health depends on playdates!","Educational","Twitter;Instagram;TikTok;Facebook",2026-02-11,08:00 AM,"#Petdate #PetCare #Socialization #MentalHealth #PetsOfInstagram #Tips","Image","How often does your pet get playdates?","https://petdate.example.com/socialization-guide","Draft","Pending","Week 1 - Tuesday morning"
PETDATE-005,Petdate,"Behind the Scenes: Our Vets Team","Meet the veterinarians making sure every pet on Petdate is healthy and happy. They vet (pun intended!) every profile. Your pet's safety is our priority.","Community","Instagram;Facebook;LinkedIn;Twitter",2026-02-11,12:00 PM,"#Petdate #Veterinary #PetSafety #Team #Experts #Trust","Carousel","What pet health question would you ask a vet?","https://petdate.example.com/vet-team","Draft","Pending","Mid-day team feature"
PETDATE-006,Petdate,"Trending: Small Dog Social Scene","Chihuahuas, Pomeranians, and Corgis are TAKING OVER Petdate! Check out this week's cutest small dog matches and playdates happening near you.","Community","TikTok;Instagram;Twitter;Facebook",2026-02-11,04:00 PM,"#Petdate #SmallDogs #Chihuahua #Corgi #Pomeranian #CuteOverload #PetsOfInstagram","Video","Do you have a small dog? Show us! 🐕","https://petdate.example.com/small-dog-trend","Draft","Pending","Afternoon trending"
PETDATE-007,Petdate,"Petdate Ambassador Program: Join Us!","Love pets? Want to make $$ promoting Petdate? Our ambassador program is hiring. Get 20% commission on every friend who joins. Apply today!","News","Instagram;Twitter;TikTok;Facebook",2026-02-12,09:00 AM,"#Petdate #AmbassadorProgram #MakeMoney #Referral #Community #Opportunity","Image","Would you like to be a Petdate ambassador?","https://petdate.example.com/ambassador-apply","Draft","Pending","Week 1 - Wednesday opportunity"
PETDATE-008,Petdate,"User Feature: Sarah & Her Pack","Sarah has three rescue dogs and is expanding her furry family. She's matched 6 new friendships on Petdate. Meet the pet parent making a difference!","Community","Instagram;Facebook;Twitter;TikTok",2026-02-12,03:00 PM,"#Petdate #RescueDogs #Community #Adoption #Love #PetsOfInstagram #Heartwarming","Carousel","Are you a pet rescuer? Tell us your story!","https://petdate.example.com/sarah-feature","Draft","Pending","Afternoon user feature"
PETDATE-009,Petdate,"Pet Safety Checklist: Before Your Playdate","Meeting a new pet? Download our playdate safety checklist! Breed compatibility, age appropriateness, location tips - we've got you covered. Free PDF!","Educational","Twitter;Instagram;Facebook;TikTok",2026-02-12,06:00 PM,"#Petdate #PetSafety #Checklist #PlaydatePrep #PetsOfInstagram #Education","Text","What safety concerns do you have?","https://petdate.example.com/safety-checklist","Draft","Pending","Evening safety resource"
PETDATE-010,Petdate,"This Week in Pet News: Cutest Matches","Here are the 10 cutest new matches from Petdate this week! Your weekly dose of 🐾 cuteness. Tag your pet if they match your style!","Community","Instagram;TikTok;Twitter;Facebook",2026-02-12,08:00 PM,"#Petdate #CuteOverload #PetsOfInstagram #Weekly #Matches #Fun #DogMom #CatLady","Carousel","Which match was the cutest?","https://petdate.example.com/cutest-matches-week1","Draft","Pending","Night engagement"
MAWASHI-001,Mawashi,"Welcome to Mawashi: Motion Redefined","Mawashi is where motion design meets storytelling. We create animations that move people. Welcome to a revolution in video content.","News","Instagram;LinkedIn;Twitter;Facebook;YouTube",2026-02-10,09:00 AM,"#Mawashi #MotionDesign #Animation #VideoProduction #Storytelling #Creative","Video","What's your favorite animation style?","https://mawashi.example.com/about","Draft","Pending","Week 1 - Monday launch"
MAWASHI-002,Mawashi,"Behind the Scenes: Our Animation Studio","From concept to final render - watch our animators create magic. 4K resolution, detailed process, and the passion that goes into every frame.","Community","Instagram;YouTube;TikTok;Twitter",2026-02-10,02:00 PM,"#Mawashi #Animation #BTS #StudioLife #CreativeProcess #Motion #Video","Video","What's the hardest part of animation?","https://mawashi.example.com/bts-studio","Draft","Pending","Afternoon BTS video"
MAWASHI-003,Mawashi,"Animation Trends 2026: What's Hot","Kinetic typography, 3D isometric design, and AI-assisted animation are ruling 2026. Here's what your brand needs to know about staying current.","Thought Leadership","LinkedIn;Twitter;Instagram;Facebook",2026-02-10,05:00 PM,"#Mawashi #AnimationTrends #MotionDesign #2026 #FutureOfVideo #Design","Text","Which trend will your brand use?","https://mawashi.example.com/trends-2026","Draft","Pending","Evening trend report"
MAWASHI-004,Mawashi,"Client Spotlight: Tech Startup Explainer","A fintech startup needed to explain complex features. We created a 2-minute animated explainer. 85% viewer retention. Check the case study!","News","Instagram;LinkedIn;YouTube;Twitter",2026-02-11,10:00 AM,"#Mawashi #CaseStudy #ExplainerVideo #MotionDesign #ClientWork #Success","Video","Do you need an explainer video?","https://mawashi.example.com/fintech-case","Draft","Pending","Week 1 - Tuesday case study"
MAWASHI-005,Mawashi,"Free Masterclass: Animation Fundamentals","Learn from our lead animator. 6 sessions covering keyframing, easing, timing, and character animation. Completely free. Enrollment closes Friday!","Community","Twitter;Instagram;Facebook;LinkedIn;YouTube",2026-02-11,01:00 PM,"#Mawashi #Masterclass #Animation #Learning #FreeClass #Education #Tutorial","Text","What animation topic interests you most?","https://mawashi.example.com/masterclass-free","Draft","Pending","Afternoon announcement"
MAWASHI-006,Mawashi,"Tool Recommendation: Industry Standard Software","As animators, here's what we use daily: After Effects, Cinema 4D, and Blender. Full breakdown of costs, pros, and cons. Which will YOU choose?","Educational","LinkedIn;Instagram;Twitter;Facebook;YouTube",2026-02-11,04:00 PM,"#Mawashi #AnimationSoftware #AdobeAfterEffects #Cinema4D #Blender #Tools #Review","Image","What software do you use?","https://mawashi.example.com/software-guide","Draft","Pending","Afternoon tool guide"
MAWASHI-007,Mawashi,"Portfolio Update: Social Media Campaign","Brand awareness campaign for a beverage company. We created 12 animated social posts. Engagement up 340%. See the full collection!","News","Instagram;Twitter;LinkedIn;YouTube;TikTok",2026-02-12,09:00 AM,"#Mawashi #PortfolioUpdate #SocialMedia #MotionDesign #BrandAwareness #Success","Carousel","What's your favorite social animation?","https://mawashi.example.com/beverage-campaign","Draft","Pending","Week 1 - Wednesday portfolio"
MAWASHI-008,Mawashi,"Animation for E-Commerce: Boost Sales","Product animations increase conversion by 25%. Here's how we create animations that sell. Real data. Real results. Real ROI.","Thought Leadership","LinkedIn;Instagram;Twitter;Facebook",2026-02-12,02:00 PM,"#Mawashi #Ecommerce #Animation #ConversionRate #Sales #Marketing #ROI","Text","Are you using animation in your ecommerce?","https://mawashi.example.com/ecommerce-animation","Draft","Pending","Afternoon thought leadership"
MAWASHI-009,Mawashi,"Team Expansion: Meet Our New Animators","We're growing! Meet Maria and Khan - two insanely talented animators joining the Mawashi team. Welcome to the family! 🎉","Community","Instagram;LinkedIn;Twitter;Facebook","2026-02-12,07:00 PM,"#Mawashi #TeamExpansion #Hiring #Animation #NewTeamMembers #Growth #Celebration","Carousel","Congratulations to our new team! 🎉","https://mawashi.example.com/new-animators","Draft","Pending","Evening team celebration"
MAWASHI-010,Mawashi,"Animation Services: What We Offer","From 15-second social clips to full 60-minute videos. Explainers, product demos, brand stories - we do it all. Let's talk about your project!","Community","Twitter;Instagram;Facebook;LinkedIn;YouTube",2026-02-12,08:30 PM,"#Mawashi #Services #MotionDesign #Animation #CreativeServices #LetsTalk #GetQuote","Text","What's your dream animation project?","https://mawashi.example.com/services-inquiry","Draft","Pending","Night service promo"
NIKAHX-001,NikahX,"Welcome to NikahX: Marriage Made Modern","NikahX is where tradition meets technology. Find your Islamic match. Build your future. Based on faith, values, and compatibility. Let's find your person.","News","Instagram;Twitter;LinkedIn;Facebook;TikTok",2026-02-10,09:00 AM,"#NikahX #IslamicMatrimony #MarriageGoals #Relationships #Faith #Love #Halal","Video","What's most important in a life partner?","https://nikahx.example.com/download","Draft","Pending","Week 1 - Monday launch"
NIKAHX-002,NikahX,"Safety First: Our Verification Process","Every profile on NikahX is verified. Background checks. Video verification. Islamic scholars on our team ensuring respectful interactions. Your safety matters.","News","Twitter;Instagram;Facebook;LinkedIn",2026-02-10,01:00 PM,"#NikahX #Safety #Verification #Trust #Transparency #Islamic #Halal","Image","Safety in online dating is essential.","https://nikahx.example.com/safety-verified","Draft","Pending","Afternoon safety highlight"
NIKAHX-003,NikahX,"Success Story: Amir & Noor's Journey","Amir and Noor matched 6 months ago on NikahX. This week they announced their engagement! Read their beautiful story. Love happens here. 💕","Community","Instagram;Twitter;Facebook;TikTok",2026-02-10,05:00 PM,"#NikahX #SuccessStory #Engagement #MarriageGoals #IslamicLove #Nikkah #Joy","Video","Congratulations Amir & Noor! Tell us your story!","https://nikahx.example.com/amir-noor-story","Draft","Pending","Evening success celebration"
NIKAHX-004,NikahX,"Values Quiz: Find Your Match","What matters most to you? Career ambition? Family values? Spirituality? Our AI-powered values quiz pairs you with compatible matches. Try it now!","Community","Instagram;Twitter;TikTok;Facebook",2026-02-11,09:00 AM,"#NikahX #ValuesQuiz #Compatibility #MatchMaking #AI #IslamicMatch #PersonalityQuiz","Interactive","What are your top 3 values in a partner?","https://nikahx.example.com/values-quiz","Draft","Pending","Week 1 - Tuesday interactive"
NIKAHX-005,NikahX,"Expert Advice: Meaningful Conversations","How to move from matching to meaningful conversation? Our relationship coach shares 5 conversation starters that lead to real connection. Be authentic!","Educational","Twitter;Instagram;LinkedIn;Facebook",2026-02-11,12:00 PM,"#NikahX #RelationshipAdvice #Communication #Authenticity #Love #Dating #Tips","Text","What's your best first conversation starter?","https://nikahx.example.com/conversation-tips","Draft","Pending","Mid-day advice"
NIKAHX-006,NikahX,"Meet Our Matchmakers: The Human Touch","Behind every match is an algorithm AND a human. Our team of matchmakers reviews profiles to ensure quality connections. Science + soul = magic.","Community","Instagram;LinkedIn;Twitter;Facebook",2026-02-11,03:00 PM,"#NikahX #Matchmakers #TeamFeature #HumanTouch #Community #Relationship #Expertise","Carousel","Have you worked with a matchmaker before?","https://nikahx.example.com/matchmakers-team","Draft","Pending","Afternoon team feature"
NIKAHX-007,NikahX,"Muslim Marriage Traditions Around the World","From Pakistani Mehendi to Arab Zaffe - marriage traditions are beautiful. See how different cultures celebrate Islamic unions while staying true to values.","Educational","Instagram;Pinterest;Twitter;Facebook",2026-02-12,10:00 AM,"#NikahX #MuslimWeddings #Traditions #Culture #IslamicMarriage #Wedding #Celebration","Carousel","Which wedding tradition is your favorite?","https://nikahx.example.com/wedding-traditions","Draft","Pending","Week 1 - Wednesday traditions"
NIKAHX-008,NikahX,"Premium Feature Launch: Video Introductions","Now show, don't just tell. Premium members can record video introductions. See personality, hear voice, connect authentically. Upgrade now!","News","Instagram;Twitter;Facebook;TikTok;LinkedIn",2026-02-12,02:00 PM,"#NikahX #NewFeature #VideoIntro #Premium #Connection #Innovation #Dating","Video","Would you use video introductions?","https://nikahx.example.com/video-intro-feature","Draft","Pending","Afternoon feature launch"
NIKAHX-009,NikahX,"Parental Involvement: The Right Balance","Modern matchmaking respects autonomy AND family values. How much should parents be involved in your search? Let's discuss this beautifully complex topic.","Community","Twitter;Instagram;Facebook;LinkedIn",2026-02-12,06:00 PM,"#NikahX #Family #Relationships #Discussion #IslamicValues #Culture #Respect","Text","What's your stance on parental involvement?","https://nikahx.example.com/parental-discussion","Draft","Pending","Evening discussion"
NIKAHX-010,NikahX,"Love Letter: Why We Do This","We do this because everyone deserves love - authentic, faith-based, life-long love. NikahX isn't just an app; it's a movement toward meaningful marriage.","Inspirational","Instagram;Twitter;Facebook;LinkedIn;TikTok",2026-02-12,08:00 PM,"#NikahX #Mission #Love #Faith #MarriageGoals #IslamicValues #Purpose #Community","Text","What does meaningful marriage mean to you?","https://nikahx.example.com/our-mission","Draft","Pending","Night mission statement"
